Title,Author,Identifier,Inventory,Count,Rate,Publisher,PublishedDate
《企业内部控制基本规范》合规实务指南,梁晟耀编著,F239.45-65/2,6,6,1.0,电子工业出版社,2010.04
管理会计学,王建文主编,F234.3/91,8,6,0.75,科学出版社,2020
曼昆版《宏观经济学》(第十版) 课后题解答与题库,"(美) N. 格里高利·曼昆(N. Gregory Mankiw), 马克·吉布森(Mark Gibson)著",F015-44/16,6,6,1.0,中国人民大学出版社,2021
"硅谷钢铁侠:埃隆·马斯克的冒险人生:tesla, spaceX, and the quest for a fantastic future",(美) 阿什利·万斯著,F279.712.3/22,6,6,1.0,中信出版社,2016
运营管理.第6版,马风才编著,F273/85=6,4,6,1.5,机械工业出版社,2021
企业内部控制配套指引解读与案例分析,企业内部控制编审委员会编著,F279.23/39,6,5,0.83,立信会计出版社,2010
国民经济核算原理与中国实践.第4版,"高敏雪, 李静萍, 许健编著",F222.33/22=4,6,5,0.83,中国人民大学出版社,2018
企业内部控制配套指引讲解与案例分析,企业内部控制研究组编著,F279.23/55,6,5,0.83,东北财经大学出版社,2010
黑天鹅:如何应对不可预知的未来:the impact of the highly improbable.第4版,(美) 纳西姆·尼古拉斯·塔勒布(Nassim Nicholas Taleb)著,F270/426=4,10,5,0.5,中信出版集团,2019
曼昆《宏观经济学》(第10版) 笔记和课后习题详解,主编圣才考研网,F015/166,6,5,0.83,中国石化出版社,2020
富爸爸穷爸爸.全新修订版,"(美) 罗伯特·清崎, 莎伦·莱希特著",F830.59-49/5,8,5,0.63,南海出版公司,2008
营销管理,"(美) 凯文·莱恩·凯勒, (美) 菲利普·科特勒著",F713.50/51=13,8,5,0.63,格致出版社,2009.11
宏观经济学,(美) N. 格里高利·曼昆著,F015/112,6,5,0.83,中国人民大学出版社,2016
人力资源管理案例分析.第2版,吴冬梅等编著,F241/28=2,8,5,0.63,机械工业出版社,2011
创业管理:成功创建新企业:successfully launching new ventures,"(美) 布鲁斯 R. 巴林格, R. 杜安·爱尔兰著",F270/207=3,6,5,0.83,机械工业出版社,2010
商业伦理管理:straight talk about how to do it right,"(美) 琳达·K·屈维诺, 凯瑟琳·A·尼尔森著",F718/4=4,6,5,0.83,电子工业出版社,2010
"经济学原理,宏观经济学分册",(美) 曼昆(N. Gregory Mankiw)著,F0/21-1=7,8,5,0.63,北京大学出版社,2015.05
战略管理.第2版,"王方华, 吕巍等编著",F270/204=2,8,4,0.5,机械工业出版社,2011
Python金融数据分析与挖掘实战,黄恒秋 ... [等] 编著,F830.49/183,4,4,1.0,人民邮电出版社,2020
国有企业内部控制框架,国有企业内部控制课题组著,F276.1/1,6,4,0.67,机械工业出版社,2009.03
浪潮之巅.下册.第4版,吴军著,F49/23-2=4,8,4,0.5,人民邮电出版社,2019
国富论彩图馆,(英) 亚当·斯密著,F091.33-49/1,6,4,0.67,中国华侨出版社,2016
公司理财,"(美) 斯蒂芬 A. 罗斯, 伦道夫 W. 威斯特菲尔德, 杰弗利 F. 杰富著",F276.6/52=9,8,4,0.5,机械工业出版社,2012
